WD20CD,WD20NM,FID
E05010734,Edenthorpe & Kirk Sandall,833
E05011451,Lemington,834
E05000847,Douglas,835
E05000954,Bebington,836
E05000807,Droylsden East,837
E05010735,Edlington & Warmsworth,838
E05011452,Manor Park,839
E05000848,Golborne and Lowton West,840
E05000955,Bidston and St James,841
E05000808,Droylsden West,842
E05010736,Finningley,843
E05011453,Monument,844
E05000849,Hindley,845
E05000956,Birkenhead and Tranmere,846
E05000809,Dukinfield,847
E05010737,Hatfield,848
E05011454,North Jesmond,849
E05000850,Hindley Green,850
E05000957,Bromborough,851
E05000810,Dukinfield Stalybridge,852
E05010738,Hexthorpe & Balby North,853
E05011455,Ouseburn,854
E05000851,Ince,855
E05000958,Clatterbridge,856
E05000899,Kensington and Fairfield,857
E05000811,Hyde Godley,858
E05010739,Mexborough,859
E05011456,Parklands,860
E05000852,Leigh East,861
E05000959,Claughton,862
E05000900,Kirkdale,863
E05000812,Hyde Newton,864
E05010740,Norton & Askern,865
E05011457,South Jesmond,866
E05000853,Leigh South,867
E05000854,Leigh West,868
E05000855,Lowton East,869
E05000856,Orrell,870
E05000857,Pemberton,871
E05000858,Shevington with Lower Ground,872
E05000859,Standish with Langtree,873
E05000860,Tyldesley,874
E05000861,Wigan Central,875
E05000862,Wigan West,876
E05000863,Winstanley,877
E05000864,Worsley Mesnes,878
E05010935,Cherryfield,879
E05010936,Halewood North,880
E05010937,Halewood South,881
E05010938,Northwood,882
E05010939,Page Moss,883
E05010940,Prescot North,884
E05010941,Prescot South,885
E05010942,Roby,886
E05010943,Shevington,887
E05010944,St Gabriels,888
E05010945,St Michaels,889
E05010946,Stockbridge,890
E05010947,Swanside,891
E05010948,Whiston and Cronton,892
E05010949,Whitefield,893
E05000886,Allerton and Hunts Cross,894
E05000887,Anfield,895
E05000888,Belle Vale,896
E05000889,Central,897
E05000890,Childwall,898
E05000891,Church,899
E05000892,Clubmoor,900
E05000893,County,901
E05000894,Cressington,902
E05000895,Croxteth,903
E05000896,Everton,904
E05000897,Fazakerley,905
E05000898,Greenbank,906
E05010741,Roman Ridge,907
E05000813,Hyde Werneth,908
E05010742,Rossington & Bawtry,909
E05000960,Eastham,910
E05000901,Knotty Ash,911
E05000814,Longdendale,912
E05010743,Sprotbrough,913
E05000961,"Greasby, Frankby and Irby",914
E05000902,Mossley Hill,915
E05000815,Mossley,916
E05011458,Walker,917
E05010744,Stainforth & Barnby Dun,918
E05000962,Heswall,919
E05000903,Norris Green,920
E05000816,St Peter's,921
E05011459,Walkergate,922
E05010745,Thorne & Moorends,923
E05000963,Hoylake and Meols,924
E05000904,Old Swan,925
E05000817,Stalybridge North,926
E05011460,West Fenham,927
E05010746,Tickhill & Wadsworth,928
E05000964,Leasowe and Moreton East,929
E05000905,Picton,930
E05000818,Stalybridge South,931
E05011461,Wingrove,932
E05010747,Town,933
E05000965,Liscard,934
E05000906,Princes Park,935
E05000819,Altrincham,936
E05001115,Battle Hill,937
E05010748,Wheatley Hills & Intake,938
E05000966,Moreton West and Saughall Massie,939
E05000907,Riverside,940
E05000820,Ashton upon Mersey,941
E05001116,Benton,942
E05008935,Anston and Woodsetts,943
E05000967,New Brighton,944
E05000908,St Michael's,945
E05000821,Bowdon,946
E05001117,Camperdown,947
E05001019,Boston Castle,948
E05000968,Oxton,949
E05000909,Speke-Garston,950
E05000822,Broadheath,951
E05001118,Chirton,952
E05001020,Brinsworth and Catcliffe,953
E05000969,Pensby and Thingwall,954
E05000910,Tuebrook and Stoneycroft,955
E05000823,Brooklands,956
E05001119,Collingwood,957
E05008936,Dinnington,958
E05000970,Prenton,959
E05000911,Warbreck,960
E05000824,Bucklow-St Martins,961
E05001120,Cullercoats,962
E05001022,Hellaby,963
E05000971,Rock Ferry,964
E05000912,Wavertree,965
E05000825,Clifford,966
E05001121,Howdon,967
E05001023,Holderness,968
E05000972,Seacombe,969
E05000913,West Derby,970
E05000826,Davyhulme East,971
E05001122,Killingworth,972
E05001024,Hoober,973
E05000973,Upton,974
E05000974,Wallasey,975
E05000975,West Kirby and Thurstaston,976
E05000976,Central,977
E05000977,Cudworth,978
E05000978,Darfield,979
E05000979,Darton East,980
E05000980,Darton West,981
E05000981,Dearne North,982
E05000982,Dearne South,983
E05000983,Dodworth,984
E05000984,Hoyland Milton,985
E05000985,Kingstone,986
E05000986,Monk Bretton,987
E05000987,North East,988
E05000988,Old Town,989
E05000989,Penistone East,990
E05000990,Penistone West,991
E05000991,Rockingham,992
E05000992,Royston,993
E05000993,St Helens,994
E05000994,Stairfoot,995
E05000995,Wombwell,996
E05000996,Worsbrough,997
