FID,PAR20CD,PAR20NM,PAR20NMW,LAD20CD,LAD20NM
1094,E04001314,Shorwell,,E06000046,Isle of Wight
1095,E04001315,Totland,,E06000046,Isle of Wight
1096,E04001316,Ventnor,,E06000046,Isle of Wight
1097,E04001317,Wootton Bridge,,E06000046,Isle of Wight
1098,E04001318,Wroxall,,E06000046,Isle of Wight
1099,E04001319,Yarmouth,,E06000046,Isle of Wight
1100,E04001320,East Cowes,,E06000046,Isle of Wight
1101,E04001321,Fishbourne,,E06000046,Isle of Wight
1102,E04001322,Havenstreet and Ashey,,E06000046,Isle of Wight
1103,E04001323,Newport and Carisbrooke,,E06000046,Isle of Wight
1104,E04001324,Northwood,,E06000046,Isle of Wight
1105,E04001325,Ryde,,E06000046,Isle of Wight
1106,E04001326,Whippingham,,E06000046,Isle of Wight
1107,E04010590,Barforth,,E06000047,County Durham
1108,E04010591,Barnard Castle,,E06000047,County Durham
1109,E04010592,Barningham,,E06000047,County Durham
1110,E04010593,Bearpark,,E06000047,County Durham
1111,E04010594,Belmont,,E06000047,County Durham
1112,E04010595,Bishop Auckland,,E06000047,County Durham
1113,E04010596,Bishop Middleham,,E06000047,County Durham
1114,E04010597,Bolam,,E06000047,County Durham
1115,E04010598,Boldron,,E06000047,County Durham
1116,E04010599,Bournmoor,,E06000047,County Durham
1117,E04010600,Bowes,,E06000047,County Durham
1118,E04010601,Bradbury and the Isle,,E06000047,County Durham
1119,E04010602,Brancepeth,,E06000047,County Durham
1120,E04010603,Brandon and Byshottles,,E06000047,County Durham
1121,E04010604,Brignall,,E06000047,County Durham
1122,E04010605,Burnhope,,E06000047,County Durham
1123,E04010607,Castle Eden,,E06000047,County Durham
1124,E04010608,Chilton,,E06000047,County Durham
1125,E04010609,Cleatlam,,E06000047,County Durham
1126,E04010610,Cockfield,,E06000047,County Durham
1127,E04010611,Cornforth,,E06000047,County Durham
1128,E04010612,Cornsay,,E06000047,County Durham
1129,E04010613,Cotherstone,,E06000047,County Durham
1130,E04010614,Coxhoe,,E06000047,County Durham
1131,E04001119,Southorpe,,E06000031,Peterborough
1132,E04010678,Pittington,,E06000047,County Durham
1133,E04001120,Sutton,,E06000031,Peterborough
1134,E04010679,Raby with Keverstone,,E06000047,County Durham
1135,E04001121,Thorney,,E06000031,Peterborough
1136,E04010680,Rokeby,,E06000047,County Durham
1137,E04001122,Thornhaugh,,E06000031,Peterborough
1138,E04010681,Romaldkirk,,E06000047,County Durham
1139,E04001123,Ufford,,E06000031,Peterborough
1140,E04010682,Sacriston,,E06000047,County Durham
1141,E04001124,Upton,,E06000031,Peterborough
1142,E04010683,Satley,,E06000047,County Durham
1143,E04001125,Wansford,,E06000031,Peterborough
1144,E04010684,Scargill,,E06000047,County Durham
1145,E04001126,Wittering,,E06000031,Peterborough
1146,E04010685,Seaham,,E06000047,County Durham
1147,E04001127,Wothorpe,,E06000031,Peterborough
1148,E04010686,Seaton with Slingley,,E06000047,County Durham
1149,E04012079,Hampton Hargate and Vale,,E06000031,Peterborough
1150,E04010687,Sedgefield,,E06000047,County Durham
1151,E04001128,Leigh-on-Sea,,E06000033,Southend-on-Sea
1152,E04010688,Shadforth,,E06000047,County Durham
1153,E04001129,Allhallows,,E06000035,Medway
1154,E04010689,Sheraton with Hulam,,E06000047,County Durham
1155,E04001130,Cliffe and Cliffe Woods,,E06000035,Medway
1156,E04010690,Sherburn Village,,E06000047,County Durham
1157,E04001131,Cooling,,E06000035,Medway
1158,E04010691,Shildon,,E06000047,County Durham
1159,E04010693,Shotton,,E06000047,County Durham
1160,E04010694,South Bedburn,,E06000047,County Durham
1161,E04010695,South Hetton,,E06000047,County Durham
1162,E04010696,Spennymoor,,E06000047,County Durham
1163,E04010697,Staindrop,,E06000047,County Durham
1164,E04010698,Stanhope,,E06000047,County Durham
1165,E04010699,Stanley,,E06000047,County Durham
1166,E04010700,Startforth,,E06000047,County Durham
1167,E04010701,Streatlam and Stainton,,E06000047,County Durham
1168,E04010702,Thornley,,E06000047,County Durham
1169,E04010703,Tow Law,,E06000047,County Durham
1170,E04010704,Trimdon,,E06000047,County Durham
1171,E04010705,Trimdon Foundry,,E06000047,County Durham
1172,E04010706,Urpeth,,E06000047,County Durham
1173,E04010707,Wackerfield,,E06000047,County Durham
1174,E04010708,Waldridge,,E06000047,County Durham
1175,E04010709,West Auckland,,E06000047,County Durham
1176,E04010710,West Rainton and Leamside,,E06000047,County Durham
1177,E04010711,Westwick,,E06000047,County Durham
1178,E04010712,Wheatley Hill,,E06000047,County Durham
1179,E04010713,Whorlton,,E06000047,County Durham
1180,E04010714,Windlestone,,E06000047,County Durham
1181,E04010715,Wingate,,E06000047,County Durham
1182,E04001132,Cuxton,,E06000035,Medway
1183,E04001133,Frindsbury Extra,,E06000035,Medway
1184,E04001134,Halling,,E06000035,Medway
1185,E04001135,High Halstow,,E06000035,Medway
1186,E04001136,Hoo St. Werburgh,,E06000035,Medway
1187,E04001137,Isle of Grain,,E06000035,Medway
1188,E04001138,St. Mary Hoo,,E06000035,Medway
1189,E04001139,Stoke,,E06000035,Medway
1190,E04001140,Binfield,,E06000036,Bracknell Forest
1191,E04001141,Bracknell,,E06000036,Bracknell Forest
1192,E04001142,Crowthorne,,E06000036,Bracknell Forest
1193,E04001143,Sandhurst,,E06000036,Bracknell Forest
1194,E04001144,Warfield,,E06000036,Bracknell Forest
1195,E04001145,Winkfield,,E06000036,Bracknell Forest
1196,E04001146,Aldermaston,,E06000037,West Berkshire
1197,E04001147,Aldworth,,E06000037,West Berkshire
1198,E04001148,Ashampstead,,E06000037,West Berkshire
1199,E04001149,Basildon,,E06000037,West Berkshire
1200,E04001150,Beech Hill,,E06000037,West Berkshire
1201,E04012575,Duddon and Burton,,E06000050,Cheshire West and Chester
1202,E04010716,Winston,,E06000047,County Durham
1203,E04012576,Shocklach Oviatt and District,,E06000050,Cheshire West and Chester
1204,E04010717,Witton Gilbert,,E06000047,County Durham
1205,E04012577,Clotton Hoofield,,E06000050,Cheshire West and Chester
1206,E04010718,Witton-le-Wear,,E06000047,County Durham
1207,E04010978,Mottram St. Andrew,,E06000049,Cheshire East
1208,E04012578,Christleton,,E06000050,Cheshire West and Chester
1209,E04010719,Wolsingham,,E06000047,County Durham
1210,E04012579,Churton,,E06000050,Cheshire West and Chester
1211,E04010979,Nantwich,,E06000049,Cheshire East
